ano,id_municipio,bioma,area_total,desmatado,vegetacao_natural,nao_vegetacao_natural,hidrografia
2009,5102504,Pantanal,17422.29079,3124.8,12616.5,0.4,1680.6
2011,5102504,Pantanal,17422.29079,3203.4,12537.9,0.4,1680.6
2010,5102504,Pantanal,17422.29079,3157.8,12583.5,0.4,1680.6
2005,5102504,Pantanal,17422.29079,2937.1,12804.2,0.4,1680.6
2002,5102504,Pantanal,17422.29079,2598,13143.3,0.4,1680.6
2004,5102504,Pantanal,17422.29079,2869.4,12871.9,0.4,1680.6
2014,5102504,Pantanal,17422.29079,3294.7,12446.6,0.4,1680.6
2006,5102504,Pantanal,17422.29079,3004.8,12736.5,0.4,1680.6
2017,5102504,Pantanal,17422.29079,3408.6,12332.7,0.4,1680.6
2016,5102504,Pantanal,17422.29079,3375.7,12365.6,0.4,1680.6
2008,5102504,Pantanal,17422.29079,3091.8,12649.5,0.4,1680.6
2015,5102504,Pantanal,17422.29079,3335.2,12406.1,0.4,1680.6
2020,5102504,Pantanal,17422.29079,3503.5,12237.8,0.4,1680.6
2012,5102504,Pantanal,17422.29079,3233.1,12508.2,0.4,1680.6
2000,5102504,Pantanal,17422.29079,2326.6,13414.7,0.4,1680.6
2018,5102504,Pantanal,17422.29079,3458,12283.3,0.4,1680.6
2021,5102504,Pantanal,17422.29079,3530.6,12210.7,0.4,1680.6
2003,5102504,Pantanal,17422.29079,2733.7,13007.6,0.4,1680.6
2022,5102504,Pantanal,17422.29079,3550.1,12191.2,0.4,1680.6
2019,5102504,Pantanal,17422.29079,3478.5,12262.8,0.4,1680.6
2007,5102504,Pantanal,17422.29079,3048.3,12693,0.4,1680.6
2023,5102504,Pantanal,17422.29079,3573.8,12167.5,0.4,1680.6
2001,5102504,Pantanal,17422.29079,2462.3,13279,0.4,1680.6
2013,5102504,Pantanal,17422.29079,3262.8,12478.5,0.4,1680.6
2008,5007935,Pantanal,711.73186,458.5,247.6,0,5.6
2016,5007935,Pantanal,711.73186,508.7,197.4,0,5.6
2014,5007935,Pantanal,711.73186,473.7,232.4,0,5.6
2023,5007935,Pantanal,711.73186,543.7,162.4,0,5.6
2017,5007935,Pantanal,711.73186,509.2,196.9,0,5.6
2009,5007935,Pantanal,711.73186,461.5,244.6,0,5.6
2012,5007935,Pantanal,711.73186,468.4,237.7,0,5.6
2007,5007935,Pantanal,711.73186,450.6,255.5,0,5.6
2001,5007935,Pantanal,711.73186,287.2,418.9,0,5.6
2013,5007935,Pantanal,711.73186,472.3,233.8,0,5.6
2020,5007935,Pantanal,711.73186,518.6,187.5,0,5.6
2004,5007935,Pantanal,711.73186,413.5,292.6,0,5.6
2006,5007935,Pantanal,711.73186,442.7,263.4,0,5.6
2003,5007935,Pantanal,711.73186,371.4,334.7,0,5.6
2019,5007935,Pantanal,711.73186,512.1,194,0,5.6
2000,5007935,Pantanal,711.73186,245.1,461,0,5.6
2022,5007935,Pantanal,711.73186,542.5,163.6,0,5.6
2005,5007935,Pantanal,711.73186,428.1,278,0,5.6
2018,5007935,Pantanal,711.73186,509.8,196.3,0,5.6
2011,5007935,Pantanal,711.73186,464.5,241.6,0,5.6
2015,5007935,Pantanal,711.73186,491.2,214.9,0,5.6
2010,5007935,Pantanal,711.73186,464.5,241.6,0,5.6
2002,5007935,Pantanal,711.73186,329.3,376.8,0,5.6
2021,5007935,Pantanal,711.73186,533.5,172.6,0,5.6
2002,5107602,Pantanal,18.05786,5,10.5,0,2.6
2013,5107602,Pantanal,18.05786,5,10.5,0,2.6
2005,5107602,Pantanal,18.05786,5,10.5,0,2.6
2001,5107602,Pantanal,18.05786,5,10.5,0,2.6
2017,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2006,5107602,Pantanal,18.05786,5,10.5,0,2.6
2008,5107602,Pantanal,18.05786,5,10.5,0,2.6
2010,5107602,Pantanal,18.05786,5,10.5,0,2.6
2022,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2015,5107602,Pantanal,18.05786,5.3,10.2,0,2.6
2007,5107602,Pantanal,18.05786,5,10.5,0,2.6
2018,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2009,5107602,Pantanal,18.05786,5,10.5,0,2.6
2019,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2011,5107602,Pantanal,18.05786,5,10.5,0,2.6
2000,5107602,Pantanal,18.05786,5,10.5,0,2.6
2003,5107602,Pantanal,18.05786,5,10.5,0,2.6
2012,5107602,Pantanal,18.05786,5,10.5,0,2.6
2004,5107602,Pantanal,18.05786,5,10.5,0,2.6
2014,5107602,Pantanal,18.05786,5,10.5,0,2.6
2020,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2021,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2016,5107602,Pantanal,18.05786,5.6,9.9,0,2.6
2023,5107602,Pantanal,18.05786,5.9,9.6,0,2.6
2023,5003306,Pantanal,2020.97092,1097.8,896.6,0,26.6
2012,5003306,Pantanal,2020.97092,1001.5,992.9,0,26.6
2007,5003306,Pantanal,2020.97092,933.8,1060.6,0,26.6
2010,5003306,Pantanal,2020.97092,982.7,1011.7,0,26.6
2004,5003306,Pantanal,2020.97092,858.1,1136.3,0,26.6
2001,5003306,Pantanal,2020.97092,752.8,1241.6,0,26.6
2009,5003306,Pantanal,2020.97092,960.4,1034,0,26.6
2002,5003306,Pantanal,2020.97092,787.9,1206.5,0,26.6
2013,5003306,Pantanal,2020.97092,1013.3,981.1,0,26.6
2014,5003306,Pantanal,2020.97092,1014.4,980,0,26.6
2000,5003306,Pantanal,2020.97092,717.7,1276.7,0,26.6
2018,5003306,Pantanal,2020.97092,1047.2,947.2,0,26.6
